Категория,Эффект,Приоритет,В рейде,Статус,Спеков-источников,Классов-источников,Роли,Все источники,Ключ базы,Источник
Кастерские бафы,Spell Power,Важно,0,НЕ ХВАТАЕТ,8,3,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Cultist — Corruption; Sun Cleric — Blessings; Sun Cleric — Valkyrie; Sun Cleric — Piety; Sun Cleric — Seraphim; Necromancer — Animation; Necromancer — Death; Necromancer — Rime,Spell Power Flat,https://coa-raid-comp.ascension.gg/
Кастерские бафы,3% Spell Haste,Критично,0,НЕ ХВАТАЕТ,14,11,"Мили-DPS, Рейндж/кастер, Хилер",Witch Doctor — Shadowhunting; Witch Doctor — Voodoo; Witch Doctor — Brewing; Witch Hunter — Houndmaster; Cultist — Corruption; Sun Cleric — Blessings; Primalist — Geomancy; Bloodmage — Sanguine; Bloodmage — Accursed; Pyromancer — Draconic; Chronomancer — Time; Necromancer — Death; Venomancer — Rot; Tinker — Invention,Spell Haste (3%),https://coa-raid-comp.ascension.gg/
Кастерские бафы,Mana Regeneration,Важно,0,НЕ ХВАТАЕТ,17,5,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Witch Doctor — Shadowhunting; Witch Doctor — Voodoo; Witch Doctor — Brewing; Witch Hunter — Inquisition; Witch Hunter — Houndmaster; Witch Hunter — Black Knight; Witch Hunter — Boltslinger; Stormbringer — Maelstrom; Stormbringer — Lightning; Stormbringer — Wind; Sun Cleric — Blessings; Sun Cleric — Valkyrie; Sun Cleric — Piety; Sun Cleric — Seraphim; Tinker — Demolition; Tinker — Mechanics; Tinker — Invention,Mp5,https://coa-raid-comp.ascension.gg/
Кастерские бафы,Replenishment,Критично,0,НЕ ХВАТАЕТ,11,9,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Witch Doctor — Brewing; Witch Hunter — Black Knight; Cultist — Heretic; Sun Cleric — Piety; Primalist — Mountain King; Pyromancer — Flameweaving; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement; Chronomancer — Artificer; Venomancer — Vizier,Replenishment,https://coa-raid-comp.ascension.gg/
Кастерские бафы,Strong Mana Cooldown,Опционально,0,НЕ ХВАТАЕТ,16,5,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Starcaller — Moon Priest; Starcaller — Warden; Starcaller — Sentinel; Starcaller — Moon Guard; Pyromancer — Flameweaving; Pyromancer — Draconic; Pyromancer — Incineration; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement; Chronomancer — Time; Chronomancer — Infinite; Chronomancer — Artificer; Tinker — Demolition; Tinker — Mechanics; Tinker — Invention,Burst Mana,https://coa-raid-comp.ascension.gg/
Утилити-бафы,3% Critical Strike (all),Критично,0,НЕ ХВАТАЕТ,13,11,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Barbarian — Headhunting; Felsworn — Infernal; Witch Hunter — Boltslinger; Stormbringer — Lightning; Knight of Xoroth — War; Starcaller — Moon Priest; Starcaller — Warden; Bloodmage — Accursed; Pyromancer — Incineration; Reaper — Harvest; Reaper — Domination; Chronomancer — Artificer; Necromancer — Rime,All Crit (3%),https://coa-raid-comp.ascension.gg/
Утилити-бафы,3% Damage Done (all),Критично,0,НЕ ХВАТАЕТ,9,9,"Мили-DPS, Рейндж/кастер, Танк",Witch Doctor — Voodoo; Felsworn — Tyrant; Stormbringer — Maelstrom; Knight of Xoroth — Hellfire; Sun Cleric — Valkyrie; Templar — Crusader; Runemaster — Riftblade; Chronomancer — Infinite; Necromancer — Animation,All Damage Done (3%),https://coa-raid-comp.ascension.gg/
Утилити-бафы,Small Resistances (all),Опционально,0,НЕ ХВАТАЕТ,13,4,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Witch Doctor — Shadowhunting; Witch Doctor — Voodoo; Witch Doctor — Brewing; Stormbringer — Maelstrom; Stormbringer — Lightning; Stormbringer — Wind; Primalist — Wildwalker; Primalist — Mountain King; Primalist — Geomancy; Primalist — Grovekeeper; Reaper — Soul; Reaper — Harvest; Reaper — Domination,Small All Resist,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Fire Resistance,Опционально,0,НЕ ХВАТАЕТ,19,6,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Felsworn — Infernal; Felsworn — Tyrant; Felsworn — Slaying; Knight of Xoroth — Hellfire; Knight of Xoroth — War; Knight of Xoroth — Defiance; Pyromancer — Flameweaving; Pyromancer — Draconic; Pyromancer — Incineration; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement; Necromancer — Animation; Necromancer — Death; Necromancer — Rime; Venomancer — Stalking; Venomancer — Vizier; Venomancer — Fortitude; Venomancer — Rot,Fire,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Frost Resistance,Опционально,0,НЕ ХВАТАЕТ,3,1,"Мили-DPS, Танк",Knight of Xoroth — Hellfire; Knight of Xoroth — War; Knight of Xoroth — Defiance,Frost,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Nature Resistance,Опционально,0,НЕ ХВАТАЕТ,16,5,"Мили-DPS, Рейндж/кастер, Саппорт, Танк",Stormbringer — Maelstrom; Stormbringer — Lightning; Stormbringer — Wind; Guardian — Vanguard; Guardian — Gladiator; Guardian — Inspiration; Primalist — Wildwalker; Primalist — Mountain King; Primalist — Geomancy; Primalist — Grovekeeper; Ranger — Brigand; Ranger — Archery; Ranger — Farstrider; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement,Nature,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Shadow Resistance,Опционально,0,НЕ ХВАТАЕТ,14,4,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Felsworn — Infernal; Felsworn — Tyrant; Felsworn — Slaying; Witch Hunter — Inquisition; Witch Hunter — Houndmaster; Witch Hunter — Black Knight; Witch Hunter — Boltslinger; Cultist — Heretic; Cultist — Dreadnought; Cultist — Corruption; Cultist — Godblade; Knight of Xoroth — Hellfire; Knight of Xoroth — War; Knight of Xoroth — Defiance,Shadow,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Arcane Resistance,Опционально,0,НЕ ХВАТАЕТ,17,5,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Knight of Xoroth — Hellfire; Knight of Xoroth — War; Knight of Xoroth — Defiance; Starcaller — Moon Priest; Starcaller — Warden; Starcaller — Sentinel; Starcaller — Moon Guard; Primalist — Wildwalker; Primalist — Mountain King; Primalist — Geomancy; Primalist — Grovekeeper; Pyromancer — Flameweaving; Pyromancer — Draconic; Pyromancer — Incineration; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement,Arcane,https://coa-raid-comp.ascension.gg/
Утилити-бафы,5% Resource Reduction,Опционально,0,НЕ ХВАТАЕТ,13,4,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Witch Doctor — Shadowhunting; Witch Doctor — Voodoo; Witch Doctor — Brewing; Knight of Xoroth — Hellfire; Knight of Xoroth — War; Knight of Xoroth — Defiance; Sun Cleric — Blessings; Sun Cleric — Valkyrie; Sun Cleric — Piety; Sun Cleric — Seraphim; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement,Cost Reduction (5%),https://coa-raid-comp.ascension.gg/
Утилити-бафы,3% Damage Reduction (all),Критично,0,НЕ ХВАТАЕТ,7,7,"Танк, Хилер",Cultist — Heretic; Guardian — Vanguard; Starcaller — Moon Guard; Reaper — Domination; Chronomancer — Time; Venomancer — Fortitude; Tinker — Invention,Dmg Reduct(-3%),https://coa-raid-comp.ascension.gg/
Утилити-бафы,6% Healing Done,Опционально,0,НЕ ХВАТАЕТ,6,6,"Саппорт, Танк, Хилер",Sun Cleric — Seraphim; Templar — Oathkeeper; Primalist — Grovekeeper; Bloodmage — Eternal; Venomancer — Vizier; Tinker — Invention,6% Healing Taken,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Concentration,Опционально,0,НЕ ХВАТАЕТ,13,4,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Barbarian — Ancestry; Barbarian — Brutality; Barbarian — Headhunting; Stormbringer — Maelstrom; Stormbringer — Lightning; Stormbringer — Wind; Bloodmage — Sanguine; Bloodmage — Fleshweaver; Bloodmage — Accursed; Bloodmage — Eternal; Tinker — Demolition; Tinker — Mechanics; Tinker — Invention,Concentration,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Amplify Magic,Опционально,0,НЕ ХВАТАЕТ,9,3,"Мили-DPS, Рейндж/кастер, Хилер",Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement; Chronomancer — Time; Chronomancer — Infinite; Chronomancer — Artificer; Tinker — Demolition; Tinker — Mechanics; Tinker — Invention,Amplify Magic,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Dampen Magic,Опционально,0,НЕ ХВАТАЕТ,7,2,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Cultist — Heretic; Cultist — Dreadnought; Cultist — Corruption; Cultist — Godblade; Chronomancer — Time; Chronomancer — Infinite; Chronomancer — Artificer,Dampen Magic,https://coa-raid-comp.ascension.gg/
Утилити-бафы,Armor,Критично,0,НЕ ХВАТАЕТ,7,7,"Мили-DPS, Саппорт",Barbarian — Ancestry; Felsworn — Slaying; Stormbringer — Wind; Guardian — Inspiration; Primalist — Grovekeeper; Bloodmage — Fleshweaver; Ranger — Farstrider,Armor (Devo),https://coa-raid-comp.ascension.gg/
Утилити-бафы,Defensive Cooldown (Raid-Wide),Критично,0,НЕ ХВАТАЕТ,4,4,Танк,Felsworn — Tyrant; Witch Hunter — Black Knight; Sun Cleric — Seraphim; Templar — Oathkeeper,Raid Wall (Divine Sac),https://coa-raid-comp.ascension.gg/
Утилити-бафы,Heroism | Bloodlust,Критично,0,НЕ ХВАТАЕТ,6,6,Саппорт,Barbarian — Ancestry; Stormbringer — Wind; Guardian — Inspiration; Primalist — Grovekeeper; Bloodmage — Fleshweaver; Ranger — Farstrider,Heroism,https://coa-raid-comp.ascension.gg/
Физические дебафы,4% Physical Damage,Критично,0,НЕ ХВАТАЕТ,8,7,"Мили-DPS, Рейндж/кастер, Танк",Barbarian — Brutality; Felsworn — Tyrant; Knight of Xoroth — War; Guardian — Gladiator; Primalist — Wildwalker; Primalist — Mountain King; Ranger — Archery; Reaper — Domination,Phys Dmg Taken (4%),https://coa-raid-comp.ascension.gg/
Физические дебафы,30% Bleed Damage,Опционально,0,НЕ ХВАТАЕТ,8,4,"Мили-DPS, Рейндж/кастер, Саппорт, Танк",Barbarian — Brutality; Barbarian — Headhunting; Primalist — Wildwalker; Bloodmage — Sanguine; Bloodmage — Fleshweaver; Bloodmage — Accursed; Bloodmage — Eternal; Ranger — Archery,Bleed Dmg Taken (30%),https://coa-raid-comp.ascension.gg/
Физические дебафы,Armor Reduction,Критично,0,НЕ ХВАТАЕТ,14,9,"Мили-DPS, Рейндж/кастер, Саппорт, Танк",Barbarian — Brutality; Felsworn — Slaying; Witch Hunter — Boltslinger; Knight of Xoroth — War; Knight of Xoroth — Defiance; Guardian — Vanguard; Guardian — Gladiator; Guardian — Inspiration; Templar — Zealot; Primalist — Grovekeeper; Necromancer — Animation; Necromancer — Death; Necromancer — Rime; Tinker — Mechanics,% Armor Debuff,https://coa-raid-comp.ascension.gg/
Магические дебафы,10% Spell Damage,Критично,0,НЕ ХВАТАЕТ,11,10,"Мили-DPS, Рейндж/кастер, Танк",Felsworn — Infernal; Stormbringer — Maelstrom; Cultist — Godblade; Knight of Xoroth — Defiance; Starcaller — Sentinel; Starcaller — Moon Guard; Reaper — Soul; Runemaster — Glyphic; Chronomancer — Infinite; Necromancer — Death; Venomancer — Stalking,Spell Dmg Taken (10%),https://coa-raid-comp.ascension.gg/
Магические дебафы,3% Spell Critical Strike Chance,Критично,0,НЕ ХВАТАЕТ,7,7,"Мили-DPS, Рейндж/кастер",Stormbringer — Lightning; Knight of Xoroth — Hellfire; Primalist — Geomancy; Bloodmage — Sanguine; Pyromancer — Incineration; Necromancer — Rime; Venomancer — Stalking,Spell Crit Taken Debuff (3%),https://coa-raid-comp.ascension.gg/
Магические дебафы,3% Spell Hit,Критично,0,НЕ ХВАТАЕТ,7,7,Рейндж/кастер,Felsworn — Infernal; Cultist — Corruption; Sun Cleric — Piety; Primalist — Geomancy; Pyromancer — Draconic; Chronomancer — Infinite; Venomancer — Rot,Spell Hit (3%) DEBUFF,https://coa-raid-comp.ascension.gg/
Магические дебафы,Resistance Reduction,Критично,0,НЕ ХВАТАЕТ,12,5,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Barbarian — Ancestry; Witch Doctor — Shadowhunting; Witch Doctor — Voodoo; Witch Doctor — Brewing; Guardian — Inspiration; Starcaller — Moon Priest; Starcaller — Warden; Starcaller — Sentinel; Starcaller — Moon Guard; Sun Cleric — Blessings; Sun Cleric — Valkyrie; Sun Cleric — Piety,Resistance REDUCTION,https://coa-raid-comp.ascension.gg/
Утилити-дебафы,Attack Power Reduction,Критично,0,НЕ ХВАТАЕТ,14,11,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Witch Doctor — Brewing; Felsworn — Tyrant; Cultist — Dreadnought; Cultist — Godblade; Knight of Xoroth — Defiance; Guardian — Vanguard; Templar — Crusader; Ranger — Farstrider; Reaper — Harvest; Runemaster — Engravement; Necromancer — Animation; Necromancer — Death; Necromancer — Rime; Tinker — Demolition,Attack Power Reduction,https://coa-raid-comp.ascension.gg/
Утилити-дебафы,Attack Speed Slow,Критично,0,НЕ ХВАТАЕТ,20,15,"Мили-DPS, Рейндж/кастер, Танк",Witch Doctor — Voodoo; Felsworn — Tyrant; Witch Hunter — Black Knight; Stormbringer — Maelstrom; Cultist — Dreadnought; Knight of Xoroth — Defiance; Guardian — Vanguard; Starcaller — Moon Guard; Sun Cleric — Valkyrie; Sun Cleric — Seraphim; Primalist — Mountain King; Bloodmage — Sanguine; Bloodmage — Eternal; Reaper — Soul; Reaper — Domination; Chronomancer — Artificer; Necromancer — Animation; Necromancer — Death; Necromancer — Rime; Venomancer — Fortitude,Attack Speed (Slow),https://coa-raid-comp.ascension.gg/
Утилити-дебафы,3% Hit Reduction,Опционально,0,НЕ ХВАТАЕТ,17,10,"Мили-DPS, Рейндж/кастер, Саппорт, Танк",Cultist — Dreadnought; Cultist — Corruption; Starcaller — Moon Guard; Sun Cleric — Piety; Sun Cleric — Seraphim; Templar — Oathkeeper; Primalist — Mountain King; Primalist — Geomancy; Bloodmage — Eternal; Ranger — Brigand; Ranger — Archery; Ranger — Farstrider; Reaper — Soul; Reaper — Harvest; Reaper — Domination; Chronomancer — Artificer; Venomancer — Fortitude,Insect Swarm Hit (3%),https://coa-raid-comp.ascension.gg/
Утилити-дебафы,Healing Reduction,Опционально,0,НЕ ХВАТАЕТ,20,14,"Мили-DPS, Рейндж/кастер, Хилер",Barbarian — Headhunting; Felsworn — Slaying; Witch Hunter — Boltslinger; Cultist — Godblade; Knight of Xoroth — War; Guardian — Gladiator; Starcaller — Warden; Bloodmage — Accursed; Pyromancer — Flameweaving; Pyromancer — Draconic; Pyromancer — Incineration; Ranger — Brigand; Reaper — Harvest; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement; Necromancer — Animation; Necromancer — Death; Necromancer — Rime; Venomancer — Rot,Healing Reduc (30-50%),https://coa-raid-comp.ascension.gg/
Утилити-дебафы,Cast Speed Slow,Опционально,0,НЕ ХВАТАЕТ,15,7,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Witch Doctor — Shadowhunting; Witch Doctor — Voodoo; Witch Doctor — Brewing; Felsworn — Slaying; Witch Hunter — Inquisition; Witch Hunter — Houndmaster; Witch Hunter — Black Knight; Witch Hunter — Boltslinger; Knight of Xoroth — Hellfire; Templar — Oathkeeper; Chronomancer — Infinite; Venomancer — Stalking; Venomancer — Vizier; Venomancer — Fortitude; Venomancer — Rot,Cast Slow 30%,https://coa-raid-comp.ascension.gg/
Утилити-дебафы,Damage Done Reduction (5%),Критично,0,НЕ ХВАТАЕТ,5,3,"Мили-DPS, Рейндж/кастер, Танк",Felsworn — Infernal; Felsworn — Tyrant; Felsworn — Slaying; Witch Hunter — Inquisition; Sun Cleric — Seraphim,Damage done debuff (5%),https://coa-raid-comp.ascension.gg/
