Класс,Специализация,Роль,Классовые бафы,Сопротивления класса,Классовые дебафы,Эффекты спека: buffs[],Эффекты спека: debuffs[],Итоговые бафы по UI,Итоговые дебафы по UI,Источник
Witch Hunter,Houndmaster,Рейндж/кастер,Minor Armor and All Stats; Attack Power; Mana Regeneration,Shadow Resistance,—,3% Spell Haste; 5% Attack Power,Cast Speed Slow,Minor Armor and All Stats; Attack Power; Mana Regeneration; Shadow Resistance; 3% Spell Haste; 5% Attack Power,Cast Speed Slow,https://coa-raid-comp.ascension.gg/
Witch Hunter,Black Knight,Танк,Minor Armor and All Stats; Attack Power; Mana Regeneration,Shadow Resistance,—,Replenishment; Defensive Cooldown (Raid-Wide),Cast Speed Slow; Attack Speed Slow,Minor Armor and All Stats; Attack Power; Mana Regeneration; Shadow Resistance; Replenishment; Defensive Cooldown (Raid-Wide),Cast Speed Slow; Attack Speed Slow,https://coa-raid-comp.ascension.gg/
Witch Hunter,Boltslinger,Рейндж/кастер,Minor Armor and All Stats; Attack Power; Mana Regeneration,Shadow Resistance,—,3% Critical Strike (all),Healing Reduction; Cast Speed Slow; Armor Reduction,Minor Armor and All Stats; Attack Power; Mana Regeneration; Shadow Resistance; 3% Critical Strike (all),Healing Reduction; Cast Speed Slow; Armor Reduction,https://coa-raid-comp.ascension.gg/
Stormbringer,Maelstrom,Рейндж/кастер,Small Resistances (all); Intellect; Mana Regeneration; Concentration,Nature Resistance,—,3% Damage Done (all),10% Spell Damage; Attack Speed Slow,Small Resistances (all); Intellect; Mana Regeneration; Concentration; Nature Resistance; 3% Damage Done (all),10% Spell Damage; Attack Speed Slow,https://coa-raid-comp.ascension.gg/
Stormbringer,Lightning,Рейндж/кастер,Small Resistances (all); Intellect; Mana Regeneration; Concentration,Nature Resistance,—,3% Critical Strike (all),3% Spell Critical Strike Chance,Small Resistances (all); Intellect; Mana Regeneration; Concentration; Nature Resistance; 3% Critical Strike (all),3% Spell Critical Strike Chance,https://coa-raid-comp.ascension.gg/
Stormbringer,Wind,Саппорт,Small Resistances (all); Intellect; Mana Regeneration; Concentration,Nature Resistance,—,Armor; Heroism | Bloodlust,—,Small Resistances (all); Intellect; Mana Regeneration; Concentration; Nature Resistance; Armor; Heroism | Bloodlust,—,https://coa-raid-comp.ascension.gg/
Cultist,Heretic,Хилер,10% Stats; Intellect; Spirit; Dampen Magic,Shadow Resistance,—,3% Damage Reduction (all); Replenishment,—,10% Stats; Intellect; Spirit; Dampen Magic; Shadow Resistance; 3% Damage Reduction (all); Replenishment,—,https://coa-raid-comp.ascension.gg/
Cultist,Dreadnought,Танк,10% Stats; Intellect; Spirit; Dampen Magic,Shadow Resistance,—,Attack Speed Slow; 3% Hit Reduction,Attack Power Reduction,10% Stats; Intellect; Spirit; Dampen Magic; Shadow Resistance,Attack Speed Slow; 3% Hit Reduction; Attack Power Reduction,https://coa-raid-comp.ascension.gg/
Cultist,Corruption,Рейндж/кастер,10% Stats; Intellect; Spirit; Dampen Magic,Shadow Resistance,—,Spell Power; 3% Spell Haste,3% Spell Hit; 3% Hit Reduction,10% Stats; Intellect; Spirit; Dampen Magic; Shadow Resistance; Spell Power; 3% Spell Haste,3% Spell Hit; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Cultist,Godblade,Мили-DPS,10% Stats; Intellect; Spirit; Dampen Magic,Shadow Resistance,—,Healing Reduction,10% Spell Damage; Attack Power Reduction,10% Stats; Intellect; Spirit; Dampen Magic; Shadow Resistance,Healing Reduction; 10% Spell Damage; Attack Power Reduction,https://coa-raid-comp.ascension.gg/
Knight of Xoroth,Hellfire,Мили-DPS,Stamina; Strength; Intellect; 5% Resource Reduction,Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance,—,5% Attack Power; 3% Damage Done (all); 3% Spell Critical Strike Chance,Cast Speed Slow,Stamina; Strength; Intellect; 5% Resource Reduction; Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance; 5% Attack Power; 3% Damage Done (all),3% Spell Critical Strike Chance; Cast Speed Slow,https://coa-raid-comp.ascension.gg/
Knight of Xoroth,War,Мили-DPS,Stamina; Strength; Intellect; 5% Resource Reduction,Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance,—,3% Critical Strike (all),4% Physical Damage; Healing Reduction; Armor Reduction,Stamina; Strength; Intellect; 5% Resource Reduction; Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance; 3% Critical Strike (all),4% Physical Damage; Healing Reduction; Armor Reduction,https://coa-raid-comp.ascension.gg/
Knight of Xoroth,Defiance,Танк,Stamina; Strength; Intellect; 5% Resource Reduction,Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance,—,Attack Power Reduction; Attack Speed Slow,10% Spell Damage; Armor Reduction,Stamina; Strength; Intellect; 5% Resource Reduction; Fire Resistance; Frost Resistance; Shadow Resistance; Arcane Resistance,Attack Power Reduction; Attack Speed Slow; 10% Spell Damage; Armor Reduction,https://coa-raid-comp.ascension.gg/
Guardian,Vanguard,Танк,Strength,Nature Resistance,—,3% Damage Reduction (all); Attack Speed Slow,Armor Reduction; Attack Power Reduction,Strength; Nature Resistance; 3% Damage Reduction (all),Attack Speed Slow; Armor Reduction; Attack Power Reduction,https://coa-raid-comp.ascension.gg/
Guardian,Gladiator,Мили-DPS,Strength,Nature Resistance,—,5% Attack Power,4% Physical Damage; Healing Reduction; Armor Reduction,Strength; Nature Resistance; 5% Attack Power,4% Physical Damage; Healing Reduction; Armor Reduction,https://coa-raid-comp.ascension.gg/
Guardian,Inspiration,Саппорт,Strength,Nature Resistance,—,Armor; Heroism | Bloodlust; Resistance Reduction,Armor Reduction,Strength; Nature Resistance; Armor; Heroism | Bloodlust,Resistance Reduction; Armor Reduction,https://coa-raid-comp.ascension.gg/
Starcaller,Moon Priest,Хилер,Intellect; Strong Mana Cooldown,Arcane Resistance,—,3% Critical Strike (all); Resistance Reduction,—,Intellect; Strong Mana Cooldown; Arcane Resistance; 3% Critical Strike (all),Resistance Reduction,https://coa-raid-comp.ascension.gg/
Starcaller,Warden,Мили-DPS,Intellect; Strong Mana Cooldown,Arcane Resistance,—,3% Critical Strike (all); Resistance Reduction,Healing Reduction,Intellect; Strong Mana Cooldown; Arcane Resistance; 3% Critical Strike (all),Resistance Reduction; Healing Reduction,https://coa-raid-comp.ascension.gg/
Starcaller,Sentinel,Рейндж/кастер,Intellect; Strong Mana Cooldown,Arcane Resistance,—,10% Melee & Range Haste; Resistance Reduction,10% Spell Damage,Intellect; Strong Mana Cooldown; Arcane Resistance; 10% Melee & Range Haste,Resistance Reduction; 10% Spell Damage,https://coa-raid-comp.ascension.gg/
Starcaller,Moon Guard,Танк,Intellect; Strong Mana Cooldown,Arcane Resistance,—,3% Damage Reduction (all); Resistance Reduction,10% Spell Damage; Attack Speed Slow; 3% Hit Reduction,Intellect; Strong Mana Cooldown; Arcane Resistance; 3% Damage Reduction (all),Resistance Reduction; 10% Spell Damage; Attack Speed Slow; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Sun Cleric,Blessings,Хилер,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction,—,—,3% Spell Haste; Resistance Reduction,—,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction; 3% Spell Haste,Resistance Reduction,https://coa-raid-comp.ascension.gg/
Sun Cleric,Valkyrie,Мили-DPS,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction,—,—,3% Damage Done (all); Resistance Reduction,Attack Speed Slow,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction; 3% Damage Done (all),Resistance Reduction; Attack Speed Slow,https://coa-raid-comp.ascension.gg/
Sun Cleric,Piety,Рейндж/кастер,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction,—,—,Replenishment; Resistance Reduction,3% Spell Hit; 3% Hit Reduction,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction; Replenishment,Resistance Reduction; 3% Spell Hit; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Sun Cleric,Seraphim,Танк,10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction,—,—,6% Healing Done; Defensive Cooldown (Raid-Wide),Attack Speed Slow; 3% Hit Reduction; Damage Done Reduction (5%),10% Stats; Attack Power; Spell Power; Mana Regeneration; 5% Resource Reduction; 6% Healing Done; Defensive Cooldown (Raid-Wide),Attack Speed Slow; 3% Hit Reduction; Damage Done Reduction (5%),https://coa-raid-comp.ascension.gg/
Templar,Zealot,Мили-DPS,10% Stats; Agility,—,—,10% Melee & Range Haste,Armor Reduction,10% Stats; Agility; 10% Melee & Range Haste,Armor Reduction,https://coa-raid-comp.ascension.gg/
Templar,Crusader,Мили-DPS,10% Stats; Agility,—,—,3% Damage Done (all),Attack Power Reduction,10% Stats; Agility; 3% Damage Done (all),Attack Power Reduction,https://coa-raid-comp.ascension.gg/
Templar,Oathkeeper,Танк,10% Stats; Agility,—,—,5% Attack Power; 6% Healing Done; Defensive Cooldown (Raid-Wide),Cast Speed Slow; 3% Hit Reduction,10% Stats; Agility; 5% Attack Power; 6% Healing Done; Defensive Cooldown (Raid-Wide),Cast Speed Slow; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Primalist,Wildwalker,Мили-DPS,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit,Nature Resistance; Arcane Resistance,—,5% Attack Power,4% Physical Damage; 30% Bleed Damage,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit; Nature Resistance; Arcane Resistance; 5% Attack Power,4% Physical Damage; 30% Bleed Damage,https://coa-raid-comp.ascension.gg/
Primalist,Mountain King,Танк,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit,Nature Resistance; Arcane Resistance,—,Replenishment; 4% Physical Damage,Attack Speed Slow; 3% Hit Reduction,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit; Nature Resistance; Arcane Resistance; Replenishment,4% Physical Damage; Attack Speed Slow; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Primalist,Geomancy,Рейндж/кастер,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit,Nature Resistance; Arcane Resistance,—,3% Spell Haste; 3% Spell Hit,3% Spell Critical Strike Chance; 3% Hit Reduction,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit; Nature Resistance; Arcane Resistance; 3% Spell Haste,3% Spell Hit; 3% Spell Critical Strike Chance; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Primalist,Grovekeeper,Саппорт,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit,Nature Resistance; Arcane Resistance,—,6% Healing Done; Armor; Heroism | Bloodlust,Armor Reduction,Minor Armor and All Stats; Small Resistances (all); Agility; Spirit; Nature Resistance; Arcane Resistance; 6% Healing Done; Armor; Heroism | Bloodlust,Armor Reduction,https://coa-raid-comp.ascension.gg/
Bloodmage,Sanguine,Рейндж/кастер,Stamina; Concentration,—,—,3% Spell Haste,3% Spell Critical Strike Chance; 30% Bleed Damage; Attack Speed Slow,Stamina; Concentration; 3% Spell Haste,3% Spell Critical Strike Chance; 30% Bleed Damage; Attack Speed Slow,https://coa-raid-comp.ascension.gg/
Bloodmage,Fleshweaver,Саппорт,Stamina; Concentration,—,—,Armor; Heroism | Bloodlust,30% Bleed Damage,Stamina; Concentration; Armor; Heroism | Bloodlust,30% Bleed Damage,https://coa-raid-comp.ascension.gg/
Bloodmage,Accursed,Мили-DPS,Stamina; Concentration,—,—,3% Spell Haste; 3% Critical Strike (all),30% Bleed Damage; Healing Reduction,Stamina; Concentration; 3% Spell Haste; 3% Critical Strike (all),30% Bleed Damage; Healing Reduction,https://coa-raid-comp.ascension.gg/
Bloodmage,Eternal,Танк,Stamina; Concentration,—,—,5% Attack Power; 6% Healing Done,30% Bleed Damage; Attack Speed Slow; 3% Hit Reduction,Stamina; Concentration; 5% Attack Power; 6% Healing Done,30% Bleed Damage; Attack Speed Slow; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Pyromancer,Flameweaving,Хилер,Intellect; Spirit; Strong Mana Cooldown,Fire Resistance; Arcane Resistance,—,Replenishment,Healing Reduction,Intellect; Spirit; Strong Mana Cooldown; Fire Resistance; Arcane Resistance; Replenishment,Healing Reduction,https://coa-raid-comp.ascension.gg/
Pyromancer,Draconic,Рейндж/кастер,Intellect; Spirit; Strong Mana Cooldown,Fire Resistance; Arcane Resistance,—,3% Spell Haste,3% Spell Hit; Healing Reduction,Intellect; Spirit; Strong Mana Cooldown; Fire Resistance; Arcane Resistance; 3% Spell Haste,3% Spell Hit; Healing Reduction,https://coa-raid-comp.ascension.gg/
Pyromancer,Incineration,Рейндж/кастер,Intellect; Spirit; Strong Mana Cooldown,Fire Resistance; Arcane Resistance,—,3% Critical Strike (all); 3% Spell Critical Strike Chance,Healing Reduction,Intellect; Spirit; Strong Mana Cooldown; Fire Resistance; Arcane Resistance; 3% Critical Strike (all),3% Spell Critical Strike Chance; Healing Reduction,https://coa-raid-comp.ascension.gg/
Ranger,Brigand,Мили-DPS,Minor Armor and All Stats; Agility,Nature Resistance,—,10% Melee & Range Haste,Healing Reduction; 3% Hit Reduction,Minor Armor and All Stats; Agility; Nature Resistance; 10% Melee & Range Haste,Healing Reduction; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Ranger,Archery,Рейндж/кастер,Minor Armor and All Stats; Agility,Nature Resistance,—,10% Melee & Range Haste,4% Physical Damage; 30% Bleed Damage; 3% Hit Reduction,Minor Armor and All Stats; Agility; Nature Resistance; 10% Melee & Range Haste,4% Physical Damage; 30% Bleed Damage; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Ranger,Farstrider,Саппорт,Minor Armor and All Stats; Agility,Nature Resistance,—,10% Melee & Range Haste; Armor; Heroism | Bloodlust,Attack Power Reduction; 3% Hit Reduction,Minor Armor and All Stats; Agility; Nature Resistance; 10% Melee & Range Haste; Armor; Heroism | Bloodlust,Attack Power Reduction; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Reaper,Soul,Мили-DPS,Small Resistances (all); Stamina; Strength,—,—,—,10% Spell Damage; Attack Speed Slow; 3% Hit Reduction,Small Resistances (all); Stamina; Strength,10% Spell Damage; Attack Speed Slow; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Reaper,Harvest,Мили-DPS,Small Resistances (all); Stamina; Strength,—,—,3% Critical Strike (all),Healing Reduction; Attack Power Reduction; 3% Hit Reduction,Small Resistances (all); Stamina; Strength; 3% Critical Strike (all),Healing Reduction; Attack Power Reduction; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Reaper,Domination,Танк,Small Resistances (all); Stamina; Strength,—,—,3% Critical Strike (all); 3% Damage Reduction (all),4% Physical Damage; Attack Speed Slow; 3% Hit Reduction,Small Resistances (all); Stamina; Strength; 3% Critical Strike (all); 3% Damage Reduction (all),4% Physical Damage; Attack Speed Slow; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Runemaster,Glyphic,Рейндж/кастер,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic,Fire Resistance; Nature Resistance; Arcane Resistance,—,Replenishment,10% Spell Damage; Healing Reduction,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic; Fire Resistance; Nature Resistance; Arcane Resistance; Replenishment,10% Spell Damage; Healing Reduction,https://coa-raid-comp.ascension.gg/
Runemaster,Riftblade,Мили-DPS,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic,Fire Resistance; Nature Resistance; Arcane Resistance,—,3% Damage Done (all); Replenishment,Healing Reduction,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic; Fire Resistance; Nature Resistance; Arcane Resistance; 3% Damage Done (all); Replenishment,Healing Reduction,https://coa-raid-comp.ascension.gg/
Runemaster,Engravement,Мили-DPS,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic,Fire Resistance; Nature Resistance; Arcane Resistance,—,10% Melee & Range Haste; Replenishment,Healing Reduction; Attack Power Reduction,10% Stats; Agility; 5% Resource Reduction; Strong Mana Cooldown; Amplify Magic; Fire Resistance; Nature Resistance; Arcane Resistance; 10% Melee & Range Haste; Replenishment,Healing Reduction; Attack Power Reduction,https://coa-raid-comp.ascension.gg/
Chronomancer,Time,Хилер,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic,—,—,3% Spell Haste; 3% Damage Reduction (all),—,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic; 3% Spell Haste; 3% Damage Reduction (all),—,https://coa-raid-comp.ascension.gg/
Chronomancer,Infinite,Рейндж/кастер,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic,—,—,3% Damage Done (all),3% Spell Hit; 10% Spell Damage; Cast Speed Slow,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic; 3% Damage Done (all),3% Spell Hit; 10% Spell Damage; Cast Speed Slow,https://coa-raid-comp.ascension.gg/
Chronomancer,Artificer,Рейндж/кастер,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic,—,—,3% Critical Strike (all); Replenishment,Attack Speed Slow; 3% Hit Reduction,Intellect; Spirit; Strong Mana Cooldown; Amplify Magic; Dampen Magic; 3% Critical Strike (all); Replenishment,Attack Speed Slow; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Necromancer,Animation,Рейндж/кастер,Stamina; Spell Power,Fire Resistance,—,3% Damage Done (all),Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,Stamina; Spell Power; Fire Resistance; 3% Damage Done (all),Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,https://coa-raid-comp.ascension.gg/
Necromancer,Death,Рейндж/кастер,Stamina; Spell Power,Fire Resistance,—,3% Spell Haste,10% Spell Damage; Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,Stamina; Spell Power; Fire Resistance; 3% Spell Haste,10% Spell Damage; Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,https://coa-raid-comp.ascension.gg/
Necromancer,Rime,Рейндж/кастер,Stamina; Spell Power,Fire Resistance,—,3% Critical Strike (all); 3% Spell Critical Strike Chance,Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,Stamina; Spell Power; Fire Resistance; 3% Critical Strike (all),3% Spell Critical Strike Chance; Healing Reduction; Armor Reduction; Attack Power Reduction; Attack Speed Slow,https://coa-raid-comp.ascension.gg/
Venomancer,Stalking,Мили-DPS,Minor Armor and All Stats; Agility; Spirit,Fire Resistance,—,3% Spell Critical Strike Chance; Cast Speed Slow,10% Spell Damage,Minor Armor and All Stats; Agility; Spirit; Fire Resistance,3% Spell Critical Strike Chance; Cast Speed Slow; 10% Spell Damage,https://coa-raid-comp.ascension.gg/
Venomancer,Vizier,Хилер,Minor Armor and All Stats; Agility; Spirit,Fire Resistance,—,6% Healing Done; Replenishment,Cast Speed Slow,Minor Armor and All Stats; Agility; Spirit; Fire Resistance; 6% Healing Done; Replenishment,Cast Speed Slow,https://coa-raid-comp.ascension.gg/
Venomancer,Fortitude,Танк,Minor Armor and All Stats; Agility; Spirit,Fire Resistance,—,3% Damage Reduction (all),Cast Speed Slow; Attack Speed Slow; 3% Hit Reduction,Minor Armor and All Stats; Agility; Spirit; Fire Resistance; 3% Damage Reduction (all),Cast Speed Slow; Attack Speed Slow; 3% Hit Reduction,https://coa-raid-comp.ascension.gg/
Venomancer,Rot,Рейндж/кастер,Minor Armor and All Stats; Agility; Spirit,Fire Resistance,—,3% Spell Haste,3% Spell Hit; Healing Reduction; Cast Speed Slow,Minor Armor and All Stats; Agility; Spirit; Fire Resistance; 3% Spell Haste,3% Spell Hit; Healing Reduction; Cast Speed Slow,https://coa-raid-comp.ascension.gg/
Tinker,Demolition,Рейндж/кастер,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic,—,—,5% Attack Power,Attack Power Reduction,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic; 5% Attack Power,Attack Power Reduction,https://coa-raid-comp.ascension.gg/
Tinker,Mechanics,Рейндж/кастер,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic,—,—,10% Melee & Range Haste,Armor Reduction,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic; 10% Melee & Range Haste,Armor Reduction,https://coa-raid-comp.ascension.gg/
Tinker,Invention,Хилер,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic,—,—,3% Spell Haste; 3% Damage Reduction (all); 6% Healing Done,—,Attack Power; Mana Regeneration; Strong Mana Cooldown; Concentration; Amplify Magic; 3% Spell Haste; 3% Damage Reduction (all); 6% Healing Done,—,https://coa-raid-comp.ascension.gg/
